Locus_Tag,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_siignificance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_recovery_6hours_significance,Recovery_15hours_vs_initial_encounter_ratio,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,min,max,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_protein_id,Genbank_product,PATRIC_id,PATRIC_product,PATRIC_class,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Locus_Tag
TM7x_00005,-1.00,4.20E-01,no,-0.08,9.98E-01,no,-1.08,3.73E-01,no,0.22,9.51E-01,no,-0.78,5.29E-01,no,TM7x_00005,1,1356,forward,chromosomal replication initiator protein DnaA,K02313,L: Replication and repair,,TM7x001_00001,AJA06262.1,chromosomal replication initiator protein DnaA,fig|1476577.3.peg.1,Chromosomal replication initiator protein DnaA,,it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids,dnaA,,K02313,"ko02020,ko04112,map02020,map04112",,,,L: Replication and repair,"GO:0003674,GO:0003676,GO:0003677,GO:0003688,GO:0003690,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006270,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0016020,GO:0034641,GO:0034645,GO:0042802,GO:0043170,GO:0043565,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1901576,GO:1990837",TM7x_00005
TM7x_00010,-0.16,2.45E-01,no,0.22,1.26E-01,no,0.07,6.25E-01,no,0.23,4.71E-02,no,0.08,5.58E-01,no,TM7x_00010,1602,2699,forward,DNA polymerase III subunit beta,K02338,L: Replication and repair,,TM7x001_00003,AJA06263.1,DNA polymerase III subunit beta,fig|1476577.3.peg.2,DNA polymerase III beta subunit (EC 2.7.7.7),,"Confers DNA tethering and processivity to DNA polymerases and other proteins. Acts as a clamp, forming a ring around DNA (a reaction catalyzed by the clamp-loading complex) which diffuses in an ATP-independent manner freely and bidirectionally along dsDNA. Initially characterized for its ability to contact the catalytic subunit of DNA polymerase III (Pol III), a complex, multichain enzyme responsible for most of the replicative synthesis in bacteria",dnaN,2.7.7.7,K02338,"ko00230,ko00240,ko01100,ko03030,ko03430,ko03440,map00230,map00240,map01100,map03030,map03430,map03440",M00260,"R00375,R00376,R00377,R00378",RC02795,L: Replication and repair,"GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944",TM7x_00010
TM7x_00015,-0.42,2.04E-01,no,0.27,6.21E-01,no,-0.15,6.36E-01,no,0.25,4.71E-01,no,-0.17,6.17E-01,no,TM7x_00015,2689,3279,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00004,AJA06673.1,hypothetical protein,fig|1476577.3.peg.3,hypothetical protein,,,,,,,,,,,,TM7x_00015
TM7x_00020,-0.11,5.83E-01,no,0.18,5.71E-01,no,0.06,7.58E-01,no,0.28,1.37E-01,no,0.17,4.09E-01,no,TM7x_00020,3340,3948,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00005,AJA06674.1,hypothetical protein,fig|1476577.3.peg.4,hypothetical protein,,,,,,,,,,,,TM7x_00020
TM7x_00025,-0.37,6.73E-02,no,0.19,4.75E-01,no,-0.17,3.58E-01,no,0.29,1.06E-01,no,-0.08,6.87E-01,no,TM7x_00025,3948,5162,reverse,hypothetical protein,K03046,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00006,AJA06675.1,hypothetical protein,fig|1476577.3.peg.5,hypothetical protein,,heme binding,rpoC,2.7.7.6,K03046,"ko00230,ko00240,ko01100,ko03020,map00230,map00240,map01100,map03020",M00183,"R00435,R00441,R00442,R00443",RC02795,M: Cell wall/membrane/envelop biogenesis,,TM7x_00025
TM7x_00030,-0.18,3.82E-01,no,0.16,6.59E-01,no,-0.03,9.02E-01,no,0.26,1.67E-01,no,0.08,7.20E-01,no,TM7x_00030,5155,5622,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00007,AJA06676.1,hypothetical protein,fig|1476577.3.peg.6,hypothetical protein,,,,,,,,,,,,TM7x_00030
TM7x_00035,-0.26,1.41E-02,no,0.07,7.42E-01,no,-0.19,5.87E-02,no,0.20,5.17E-02,no,-0.06,5.30E-01,no,TM7x_00035,5615,8608,reverse,peptidase M15,,M: Cell wall/membrane/envelop biogenesis,,TM7x001_00008,AJA06264.1,peptidase M15,fig|1476577.3.peg.7,hypothetical protein,,,,,,,,,,,,TM7x_00035
TM7x_00040,-0.13,3.27E-01,no,0.04,9.93E-01,no,-0.09,5.07E-01,no,0.09,6.36E-01,no,-0.04,7.56E-01,no,TM7x_00040,8612,10471,reverse,Type IV secretion virB4,K03199,U: Intracellular trafficing and secretion,other,TM7x001_00009,AJA06265.1,conjugal transfer protein TraC,fig|1476577.3.peg.8,hypothetical protein,,"Type IV secretory pathway, VirB4",,,,,,,,U: Intracellular trafficing and secretion,,TM7x_00040
TM7x_00045,-0.21,6.01E-02,no,0.05,9.43E-01,no,-0.16,1.30E-01,no,0.10,3.85E-01,no,-0.11,2.98E-01,no,TM7x_00045,10471,11355,reverse,hypothetical protein,,S: Function Unknown,,TM7x001_00010,AJA06266.1,hypothetical protein,fig|1476577.3.peg.9,hypothetical protein,,,,,,,,,,,,TM7x_00045
TM7x_00050,-0.84,2.86E-05,initial,0.00,9.98E-01,no,-0.84,2.64E-05,initial,0.05,8.33E-01,no,-0.79,4.51E-05,initial,TM7x_00050,11356,12246,reverse,Type IV secretion prgL virB8 like protein,K03203,U: Intracellular trafficing and secretion,other,TM7x001_00011,AJA06677.1,hypothetical protein,fig|1476577.3.peg.10,hypothetical protein,,,,,,,,,,,,TM7x_00050
