Locus_Tag,Recovery_6hours_vs_naive_ratio,Recovery_6hours_vs_naive_FDR,Recovery_6hours_vs_naive_significance,Recovery_6hours_vs_initial_encounter_ratio,Recovery_6hours_vs_initial_encounter_FDR,Recovery_6hours_vs_initial_encounter_significance,Recovery_10hours_vs_recovery_6hours_ratio,Recovery_10hours_vs_recovery_6hours_FDR,Recovery_10hours_vs_recovery_6hours_significance,Recovery_10hours_vs_initial_encounter_ratio,Recovery_10hours_vs_initial_encounter_FDR,Recovery_10hours_vs_initial_encounter_significance,Recovery_15hours_vs_recovery_6hours_ratio,Recovery_15hours_vs_recovery_6hours_FDR,Recovery_15hours_vs_6hours_significance,Recovery_15hours_vs_initial_encounter_significance,Recovery_15hours_vs_initial_encounter_FDR,Recovery_15hours_vs_initial_encounter_significance,Locus Tag,Direction,McLean_product,NcLean_KEGG,McLean_COG,McLean_transport_group,Alternative_locus_tag,Genbank_RefSeq,Genbank_RefSeq_protein_id,Genbank_RefSeq_product,Genbank_RefSeq_EC,Genbank,Genbank_protein_id,Genbank_product,Genbank_EC,Prokka_id,Prokka_product,Prokka_gene_name,Prokka_EC,PATRIC_id,PATRIC_product,PATRIC_EC,PATRIC_class,Seed_id,Seed_product,Seed_EC,eggNog_product,eggNog_gene_name,eggNog_EC,eggNog_KEGG,eggNog_KEGG_pathway,eggNog_KEGG_module,eggNog_KEGG_reaction,eggNog_KEGG_rclass,eggNog_COG,eggNog_GO,Uniprot_id,Uniprot_product,Uniprot_gene_name,Uniprot_EC,Uniprot_GO_IDs,Uniprot_GO_names,Uniprot_subcellular_location ,Uniprot_Transmembrane,Locus_Tag,,Locus Tag,Recovery15_vs_initial_ratio,Recovery15_vs_initial_FDR,Recovery15_vs_initial_call
APY09_00020,-0.65,2.52E-06,decreased,-0.76,2.07E-07,initial,-0.22,7.70E-01,no,-0.98,3.75E-09,initial,-0.07,7.68E-01,no,-0.82,7.42E-08,initial,APY09_00020,reverse,ABC transporter,K01421,S: Function Unknown ,,APY09_RS00010,GI:983397092,WP_060565633.1,ABC transporter,,GI:960430892,KSW12793.1,ABC transporter,,XH001_00002,Chromosome partition protein Smc,smc_1,,fig|1660.4.peg.1,,,,SEED:fig|1660.5.peg.1,FIG00356420: hypothetical protein,,YhgE Pip domain protein,pip,,K01421,,,,,S: Function Unknown ,,A0A0V8RXJ0,ABC transporter,,,GO:0016021,integral component of membrane [GO:0016021],,"TRANSMEM 20..44;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 521..538;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 578..600;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 612..632;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 639..664;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 695..717;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_00020,,APY09_00020,-0.824281953,7.42E-08,down
APY09_00025,-0.68,3.39E-06,decreased,-0.63,7.34E-06,initial,-0.19,9.41E-01,no,-0.82,1.27E-07,initial,-0.11,6.12E-01,no,-0.74,5.94E-07,initial,APY09_00025,reverse,ABC transporter,K01421,S: Function Unknown ,,APY09_RS00015,GI:983397093,WP_060565634.1,ABC transporter,,GI:960430893,KSW12794.1,ABC transporter,,XH001_00003,Chromosome partition protein Smc,smc_2,,fig|1660.4.peg.2,,,,SEED:fig|1660.5.peg.2,Phage infection protein,,YhgE Pip domain protein,pip,,K01421,,,,,S: Function Unknown ,,A0A0V8RXV5,ABC transporter,,,GO:0016021,integral component of membrane [GO:0016021],,"TRANSMEM 21..44;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 522..541;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 561..584;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 590..609;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 621..639;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 673..695;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 764..783;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 789..811;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_00025,,APY09_00025,-0.742190468,5.94E-07,down
APY09_00030,-0.55,4.53E-04,decreased,-0.81,4.26E-06,initial,-0.19,9.97E-01,no,-1.01,1.66E-07,initial,-0.15,5.64E-01,no,-0.97,3.80E-07,initial,APY09_00030,reverse,SsrA binding protein,K03664,"O: Post-translational modification, protein turnover, chaperone functions ",,APY09_RS00020,GI:489886655,WP_003790105.1,SsrA-binding protein,,GI:960430894,KSW12795.1,SsrA-binding protein,,XH001_00004,SsrA-binding protein,smpB,,fig|1660.4.peg.3,tmRNA-binding protein SmpB,,"Stress Response, Defense, Virulence/ Protein Processing",SEED:fig|1660.5.peg.3,tmRNA-binding protein SmpB,,"the 2 termini fold to resemble tRNA(Ala) and it encodes a tag peptide , a short internal open reading frame. During trans-translation Ala- aminoacylated tmRNA acts like a tRNA, entering the A-site of stalled ribosomes, displacing the stalled mRNA. The ribosome then switches to translate the ORF on the tmRNA",smpB,,K03664,,,,,"O: Post-translational modification, protein turnover, chaperone functions ","GO:0003674,GO:0003676,GO:0003723,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006464,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0019538,GO:0036211,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0070930,GO:0071704,GO:0097159,GO:1901363,GO:1901564",A0A0V8RXK4,SsrA-binding protein (Small protein B),smpB,,GO:0003723; GO:0005737; GO:0070929,cytoplasm [GO:0005737]; RNA binding [GO:0003723]; trans-translation [GO:0070929],SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00023}. Note=The tmRNA-SmpB complex associates with stalled 70S ribosomes. {ECO:0000256|HAMAP-Rule:MF_00023}.,,APY09_00030,,APY09_00030,-0.971102714,3.80E-07,down
APY09_00035,-0.59,8.42E-03,decreased,-1.10,2.02E-05,initial,-0.22,9.97E-01,no,-1.33,1.32E-06,initial,-0.04,9.44E-01,no,-1.15,1.06E-05,initial,APY09_00035,reverse,peptidase M23,,M: Cell wall/membrane/envelop biogenesis ,,APY09_RS00025,GI:983397094,WP_060565635.1,peptidase M23,,GI:960430895,KSW12796.1,peptidase M23,,XH001_00005,Murein DD-endopeptidase MepM,mepM_1,3.4.24.-,fig|1660.4.peg.4,,,,SEED:fig|1660.5.peg.4,FIG00672196: hypothetical protein,,"Peptidase, M23",,,,,,,,M: Cell wall/membrane/envelop biogenesis ,,A0A0V8RXJ7,Peptidase M23,,,,,,,APY09_00035,,APY09_00035,-1.153591017,1.06095E-05,down
APY09_00040,-0.64,9.49E-03,decreased,-1.06,1.03E-04,initial,-0.12,9.97E-01,no,-1.18,2.58E-05,initial,-0.04,9.51E-01,no,-1.11,5.79E-05,initial,APY09_00040,reverse,cell division protein FtsX,"K09811,K09812",D: Cell cycle control and mitosis ,other,APY09_RS00030,GI:983397095,WP_060565636.1,cell division protein FtsX,,GI:960430896,KSW12797.1,cell division protein FtsX,,XH001_00006,Cell division protein FtsX,ftsX,,fig|1660.4.peg.5,"Cell-division-associated, ABC-transporter-like signaling protein FtsX",,Cellular Processes,SEED:fig|1660.5.peg.5,Cell division protein FtsX,,Part of the ABC transporter FtsEX involved in cellular division,ftsX,,"K09811,K09812","ko02010,",M00256,,,D: Cell cycle control and mitosis ,"GO:0000910,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0007049,GO:0007154,GO:0007165,GO:0007166,GO:0008150,GO:0008356,GO:0009274,GO:0009276,GO:0009966,GO:0009987,GO:0010033,GO:0010646,GO:0016020,GO:0016021,GO:0016043,GO:0019221,GO:0022402,GO:0022603,GO:0022607,GO:0023051,GO:0023052,GO:0030312,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0032153,GO:0032506,GO:0034097,GO:0040007,GO:0042173,GO:0042221,GO:0043937,GO:0043938,GO:0044085,GO:0044425,GO:0044459,GO:0044464,GO:0045595,GO:0045597,GO:0045881,GO:0048518,GO:0048522,GO:0048583,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051094,GO:0051301,GO:0051716,GO:0065007,GO:0070098,GO:0070297,GO:0070887,GO:0071310,GO:0071345,GO:0071840,GO:0071944,GO:0090529,GO:1902531",A0A0V8RXM2,Cell division protein FtsX,,,GO:0005886; GO:0007049; GO:0016021; GO:0051301,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; cell cycle [GO:0007049]; cell division [GO:0051301],SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|PIRNR:PIRNR003097}.,"TRANSMEM 21..40;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 181..203;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 223..256;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""; TRANSMEM 276..299;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_00040,,APY09_00040,-1.114276664,5.78818E-05,down
APY09_00045,-0.68,1.41E-02,decreased,-1.17,1.54E-04,initial,-0.07,9.97E-01,no,-1.25,6.42E-05,initial,-0.10,8.89E-01,no,-1.28,5.50E-05,initial,APY09_00045,reverse,cell division ATP-binding protein FtsE,"K09811,K09812",D: Cell cycle control and mitosis ,,APY09_RS00035,GI:736442739,WP_034464661.1,cell division ATP-binding protein FtsE,,GI:960430897,KSW12798.1,cell division ATP-binding protein FtsE,,XH001_00007,Cell division ATP-binding protein FtsE,ftsE,,fig|1660.4.peg.6,"Cell-division-associated, ABC-transporter-like signaling protein FtsE",,Cellular Processes,SEED:fig|1660.5.peg.6,"Cell division transporter, ATP-binding protein FtsE (TC 3.A.5.1.1)",,cell division ATP-binding protein FtsE,ftsE,,"K09811,K09812","ko02010,",M00256,,,D: Cell cycle control and mitosis ,"GO:0000166,GO:0000287,GO:0003674,GO:0003824,GO:0005488,GO:0005524,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0008144,GO:0008150,GO:0009898,GO:0009987,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017076,GO:0017111,GO:0019897,GO:0019898,GO:0030145,GO:0030554,GO:0031234,GO:0032153,GO:0032553,GO:0032555,GO:0032559,GO:0035639,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0046677,GO:0046872,GO:0046914,GO:0050896,GO:0051301,GO:0071944,GO:0097159,GO:0097367,GO:0098552,GO:0098562,GO:1901265,GO:1901363",A0A0V8RXM9,Cell division ATP-binding protein FtsE,ftsE,,GO:0005524; GO:0005886; GO:0007049; GO:0016887; GO:0051301,plasma membrane [GO:0005886]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; cell cycle [GO:0007049]; cell division [GO:0051301],SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU365094}; Peripheral membrane protein {ECO:0000256|RuleBase:RU365094}; Cytoplasmic side {ECO:0000256|RuleBase:RU365094}.,,APY09_00045,,APY09_00045,-1.277040519,5.50123E-05,down
APY09_00050,0.34,4.59E-02,no,-0.03,8.57E-01,no,-0.02,9.97E-01,no,-0.05,7.71E-01,no,-0.04,9.27E-01,no,-0.08,6.66E-01,no,APY09_00050,reverse,peptide chain release factor 2,K02836,J: Translation ,,APY09_RS00040,GI:983397096,WP_060565637.1,peptide chain release factor 2,,GI:960430898,KSW12799.1,peptide chain release factor 2,,XH001_00008,Peptide chain release factor 2,prfB,,fig|1660.4.peg.7,Peptide chain release factor 2,,Protein Processing,SEED:fig|1660.5.peg.7,Peptide chain release factor 2,,Peptide chain release factor 2 directs the termination of translation in response to the peptide chain termination codons UGA and UAA,prfB,,K02836,,,,,J: Translation ,"GO:0003674,GO:0003676,GO:0003723,GO:0003747,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006415,GO:0006518,GO:0006807,GO:0008079,GO:0008135,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0016149,GO:0019538,GO:0022411,GO:0032984,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043624,GO:0043933,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0071704,GO:0071840,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576",A0A0V8RXL3,Peptide chain release factor 2 (RF-2),prfB,,GO:0005737; GO:0016149,"cytoplasm [GO:0005737]; translation release factor activity, codon specific [GO:0016149]","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00094, ECO:0000256|SAAS:SAAS00090449}.",,APY09_00050,,APY09_00050,-0.076680968,0.665545479,unchanged
APY09_00055,1.60,1.04E-07,increased,1.79,8.36E-09,increased,-0.14,9.97E-01,no,1.64,2.03E-08,recovery,-0.35,3.24E-01,no,1.43,1.59E-07,recovery,APY09_00055,reverse,glutamate dehydrogenase,"K00261,K00262",E: Amino Acid metabolism and transport ,,APY09_RS00045,GI:983397097,WP_060565638.1,glutamate dehydrogenase,,GI:960430899,KSW12800.1,glutamate dehydrogenase,1.4.1.4,XH001_00009,NADP-specific glutamate dehydrogenase,gdhA,1.4.1.4,fig|1660.4.peg.8,NADP-specific glutamate dehydrogenase (EC 1.4.1.4),1.4.1.4,Metabolism,SEED:fig|1660.5.peg.8,NADP-specific glutamate dehydrogenase (EC 1.4.1.4),1.4.1.4,Belongs to the Glu Leu Phe Val dehydrogenases family,gdhA,"1.4.1.3,1.4.1.4","K00261,K00262","ko00220,ko00250,ko00471,ko00910,ko01100,ko01200,ko04217,ko04964,",M00740,"R00243,R00248","RC00006,RC02799",E: Amino Acid metabolism and transport ,"GO:0003674,GO:0003824,GO:0004353,GO:0004354,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006082,GO:0006520,GO:0006536,GO:0006537,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009064,GO:0009084,GO:0009987,GO:0016053,GO:0016491,GO:0016638,GO:0016639,GO:0019752,GO:0043436,GO:0043648,GO:0043650,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044464,GO:0046394,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607",A0A0V8RXL9,Glutamate dehydrogenase,,,GO:0000166; GO:0006520; GO:0016639,"nucleotide binding [GO:0000166]; oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor [GO:0016639]; cellular amino acid metabolic process [GO:0006520]",,,APY09_00055,,APY09_00055,1.433783956,1.59E-07,up
APY09_00060,-0.75,6.42E-02,no,-0.01,9.74E-01,no,0.17,9.97E-01,no,0.15,7.31E-01,no,0.14,8.93E-01,no,0.13,7.81E-01,no,APY09_00060,reverse,hypothetical protein,,S: Function Unknown ,,APY09_RS00050,GI:983397098,WP_060565639.1,hypothetical protein,,GI:960430900,KSW12801.1,hypothetical protein,,XH001_00010,hypothetical protein,,,fig|1660.4.peg.9,,,,SEED:fig|1660.5.peg.9,hypothetical protein,,,,,,,,,,,,A0A0V8RXN5,Uncharacterized protein,,,GO:0016021,integral component of membrane [GO:0016021],,"TRANSMEM 9..30;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_00060,,APY09_00060,0.128361498,0.78139787,unchanged
APY09_00065,-0.51,2.11E-01,no,0.07,8.77E-01,no,0.26,9.97E-01,no,0.33,4.40E-01,no,0.12,9.14E-01,no,0.19,6.84E-01,no,APY09_00065,reverse,hypothetical protein,,S: Function Unknown ,,APY09_RS00055,GI:983397099,WP_060565640.1,hypothetical protein,,GI:960430901,KSW12802.1,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,,XH001_00011,hypothetical protein,,,fig|1660.4.peg.10,,,,SEED:fig|1660.5.peg.10,hypothetical protein,,,,,,,,,,,,A0A0V8RXX4,1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase,,,GO:0016021,integral component of membrane [GO:0016021],,"TRANSMEM 12..39;  /note=""Helical"";  /evidence=""ECO:0000256|SAM:Phobius""",APY09_00065,,APY09_00065,0.186470699,0.684170048,unchanged
